internalCode	providerCode	name	provider	neto	iva	netoIva	minimumTotal	sellPrice	stock	minimumStock
10814	93860-44300	SWITCH MARCHA ATRÁS HY H100 GRACE VAN PORTER TODOS	ALSACIA	3.100	589	3.689	7.243	7.500		
11526	RS50	SWITCH OVALADO CON LUZ 3P AMARILLO	MERCOCHILE	630	120	750	1.472	1.500		
10815	94750-21030	SWITCH PRESION DE ACEITE HY H100 GRACE VAN PORTER TODOS KIA	ALSACIA	1.770	336	2.106	4.136	4.500		
11528	RS38	SWITCH RECTANGULAR CHICO C LUZ 3P ROJO	MERCOCHILE	430	82	512	1.005	1.000		
11307	RS-23	SWITCH RECTANGULAR GRANDE NEGRO CON LUZ ROJA ASW-17D	MERCOCHILE	890	169	1.059	2.080	2.000		
11305	RS-36	SWITCH RECTANGULAR ON OF CON LUZ ROJA 3 PATAS	MERCOCHILE	430	82	512	1.005	1.000		
11308	RS-43	SWITCH REDONDO ON OF CON LUZ ROJA 3 PATAS	MERCOCHILE	430	82	512	1.005	1.000		
11529	RS144	SWITCH TECLA ANCHA 2 TIEMPOS 4 PATAS ROJO	MERCOCHILE	450	86	536	1.051	1.000		
10816	O154618	SWITCH TECLA CON LUZ ROJA	REP AUSTRAL	971	184	1.155	2.269	2.500		
10817	8-94247-437-0-T	SWITCH TEMPERATURA CHEV LUV 1,6 2,2 89	ALSACIA	1.860	353	2.213	4.346	5.000		
10818	94024121-TW	SWITCH TEMPERATURA CHEV LUV 72-88 G161-G161Z-G180Z-G200Z	ALSACIA	1.760	334	2.094	4.112	4.500		
10819	25360-22000	SWITCH TEMPERATURA HY ACCENT  	ALSACIA	2.900	551	3.451	6.776	7.500		
10820	39220-21330	SWITCH TEMPERATURA HY ACCENT 2 PINES DISTINTA POSICION	ALSACIA	3.000	570	3.570	7.010	7.500		
10821	93920-34004	SWITCH TEMPERATURA HY ELANTRA 1,6 92 SONATA	ALSACIA	2.900	551	3.451	6.776	7.500		
10822	25360-37250	SWITCH TEMPERATURA HY ELANTRA 90-95 1,6 SONATA 94-98 	ALSACIA	4.590	872	5.462	10.725	11.500		
10823	97724-43020	SWITCH TEMPERATURA HY H100 DIESEL PORTER 	ALSACIA	3.890	739	4.629	9.089	9.500		
10824	39220-38030	SWITCH TEMPERATURA SENSOR HY ELANTRA ACCENT SONATA KIA	ALSACIA	1.730	329	2.059	4.042	4.500		
10825	94024121	SWITCH TEMPPERATURA CHEV LUV 72-88 G161-G161Z-G180Z-G200Z	ALSACIA	4.230	804	5.034	9.884	10.000		
11221	RT109	SWITCH TERMO NISSAN BN6058	MERCOCHILE	1.560	296	1.856	3.645	4.000		
11309	RT-20	SWITCH TOGLE 2 PATAS BN 16927	MERCOCHILE	480	91	571	1.122	1.200		
11527	RS31	SWIYCH TECLA DELGADA COLOR ROJO	MERCOCHILE	430	82	512	1.005	1.000		
11313	ZE086	TAPA  RADIADOR CHICA 45MM 0,9K	MERCOCHILE	540	103	643	1.262	3.000		
10826	O543620	TAPA ACEITE 34MM SUZUKI/JEP/SJ410	REP AUSTRAL	971	184	1.155	2.269	3.500		
10827	26510-35000	TAPA ACEITE HY ELANTRA EXCEL GALLOPER H100 PORTER SANTAMO	ALSACIA	700	133	833	1.636	2.500		
10828	O543618	TAPA ACEITE MAZDA/FORD	REP AUSTRAL	1.092	207	1.299	2.552	3.500		
10829	O543619	TAPA ACEITE MITSUBISHI	REP AUSTRAL	1.601	304	1.905	3.741	4.500		
10830	O543616	TAPA ACEITE NISSAN	REP AUSTRAL	1.092	207	1.299	2.552	3.500		
10831	O543617	TAPA ACEITE TOYOTA/DAIHATSUN/HILUX	REP AUSTRAL	840	160	1.000	1.963	3.500		
10832	O083501	TAPA BENCINA 30MM HONDA/DAIHATSUN	REP AUSTRAL	1.672	318	1.990	3.907	4.500		
10833	O083504	TAPA BENCINA 33MM DAIHATSU/ DATSUN/ SUZUKI	REP AUSTRAL	1.756	334	2.090	4.103	4.500		
10834	O083507	TAPA BENCINA 35MM MITSUBISHI/TOYOTA	REP AUSTRAL	1.756	334	2.090	4.103	4.500		
10835	O083508	TAPA BENCINA 37 MM MAZDA	REP AUSTRAL	1.676	318	1.994	3.916	3.800		
10836	O083509	TAPA BENCINA 38 MM FORD/HONDA	REP AUSTRAL	1.676	318	1.994	3.916	3.800		
10837	O083514	TAPA BENCINA 44 MM UNIVERSAL  GW 0229	REP AUSTRAL	1.840	350	2.190	4.299	4.500		
11532	APM8012	TAPA BENCINA ROSCA S/LLAVE	MERCOCHILE	1.640	312	1.952	3.832	4.500		
10838	O083510	TAPA BENCINA UNIVERSAL C/ROSCA	REP AUSTRAL	1.322	251	1.573	3.089	3.700		
11265	O443614	TAPA DE RADIADOR 0,9 KGS CON GOMA SUZUKI	REP AUSTRAL	786	149	935	1.837	3.500		
10839	O443602	TAPA DE RADIADOR 7 LBS S/ GOMA	REP AUSTRAL	1.126	214	1.340	2.631	3.500		
10840	O443604	TAPA DE RADIADOR 9 LBS SELLO GOMA	REP AUSTRAL	1.126	214	1.340	2.631	3.500		
10841	21360-42500	TAPA DISTRIBUCION SUPERIOR H100 DIESEL PORTER	ALSACIA	6.890	1.309	8.199	16.099	16.500		
10842	8-94206-139-0	TAPA DISTRIBUIDOR CHEV LUV 76-87 G161Z 81-86 G180Z 83-88 G200Z	ALSACIA	2.200	418	2.618	5.140	5.000		
10843	8-94231-537-0	TAPA DISTRIBUIDOR CHEV LUV 88-98 4ZD1 1,6/LUV 89-91 4ZD1 2,3	ALSACIA	6.000	1.140	7.140	14.019	14.500		
10844	8-94322-990-0	TAPA DISTRIBUIDOR CHEV LUV 92-98 4ZD1 2,3 TODOS	ALSACIA	7.500	1.425	8.925	17.524	17.000		
10845	H612-24-310	TAPA DISTRIBUIDOR MAZDA B2000 85-92 LANCER HY H100 13-15	ALSACIA	2.300	437	2.737	5.374	7.500		
10846	2070103	TAPA DISTRIBUIDOR NISSAN 45470	REP AUSTRAL	2.176	413	2.589	5.084	4.500		
10847	2070137	TAPA DISTRIBUIDOR NISSAN 45480	REP AUSTRAL	2.475	470	2.945	5.783	6.500		
10848	2070104	TAPA DISTRIBUIDOR PEUGEOT/RENAUL 46040	REP AUSTRAL	5.176	983	6.159	12.094	7.000		
10849	2070133	TAPA DISTRIBUIDOR TOYOTA 44940	REP AUSTRAL	1.929	367	2.296	4.507	4.500		
10850	O443614	TAPA RADIADOR 0,9 KGS C/2 C/GOMA SUZUKI DIATSHUN	REP AUSTRAL	785	149	934	1.834	2.800		
10851	O40010102	TAPA RADIADOR BASE ANCHA	BENLUB	1.260	239	1.499	2.944	3.000		
10954	6029	TAPA RADIADOR CHICA 9 LBS	BRM	798	152	950	1.865	3.000		
10953	603	TAPA RADIADOR CHICA TY 	BRM	1.080	205	1.285	2.523	3.000		
10852	25330-33001	TAPA RADIADOR HY ACCENT-ELANTRA	ALSACIA	1.310	249	1.559	3.061	3.500		
11408	ZE072	TAPA RADIADOR PLANA	MERCOCHILE	610	116	726	1.425	3.000		
10853	O443616	TAPA RADIADOR TOYOTA	REP AUSTRAL	922	175	1.097	2.154	3.500		
11314	RT-121	TAPA SOL MALLA TALLA S	MERCOCHILE	4.170	792	4.962	9.743	9.900		
10854	H402500	TAPA TERMOSTATO HY ACCENT PRIME SOCH 97/05	REFAX	2.650	504	3.154	6.192	7.000		
10855	O200108	TEFLON 1/2	REP AUSTRAL	168	32	200	393	450		
10856	O200109	TEFLON 3/4	REP AUSTRAL	252	48	300	589	600		
10857	8-94200-949-1	TENSOR CADENA DISTRIBUCION CHV LUV G161Z 1,6	ALSACIA	12.720	2.417	15.137	29.721	29.000		
11316	GT-81032A	TERCERA LUZ FRENO ADHESIVA 5LED	MERCOCHILE	3.090	587	3.677	7.220	7.000		
11419	BL039	TERCERA LUZ FRENO ADHESIVA OVALADA SAFARI	MERCOCHILE	3.990	758	4.748	9.323	9.200		
10945	4054	TERCERA LUZ FRENO AUTOADHESIVA ANGULADA	BRM	1.890	359	2.249	4.416	5.000		
11321	RT-10	TERMINAL 2 PATAS PAR	MERCOCHILE	360	68	428	841	1.000		
10858	TA-024-606	TERMINAL 2,8X0,5 CAB2LE 16-18	IMBRA	30	6	36	70	100		
10859	O154914	TERMINAL 3M HEMBRA AZUL	REP AUSTRAL	59	11	70	138	150		
10860	O154916	TERMINAL 3M MACHO AZUL	REP AUSTRAL	59	11	70	138	150		
10861	45503-52010 KR	TERMINAL AXIAL DEL IZQ DER TY YARIS NCP10 NCP12 99-04	GIMPORT	8.022	1.524	9.546	18.744	19.500		
10862	45503-19155 KR	TERMINAL AXIAL DELANT IZQ DER TY TERCEL 90-99 STARLET 90-96	GIMPORT	8.672	1.648	10.320	20.262	20.000		
10863	CRKH-4 KR	TERMINAL AXIAL DELANTERA IZQ DER HY EXCEL 90-94 ELANT 92-93 ACCENT 94-99	GIMPORT	7.450	1.416	8.866	17.407	17.000		
10864	CRKH-20 KR	TERMINAL AXIAL DELANTERO IZQ DER HY ACCENT PRIME 	GIMPORT	6.900	1.311	8.211	16.122	16.000		
10865	CRKH-12 KR	TERMINAL AXIAL DELANTERO IZQ DER HY H100 GRACE 86-03 PORTER H100 97-03 H1 97-07	GIMPORT	9.700	1.843	11.543	22.664	22.000		
10866	CRKH-6 KR	TERMINAL AXIAL DELANTERO IZQ DER HY SONATA ELANTRA CARENS	GIMPORT	6.272	1.192	7.464	14.655	15.000		
